release_speed_z,launch_angle,launch_speed_z,bat_speed_z,swing_length_z,bat_speed_x_swing_length,launch_speed_x_launch_angle,count_state,ahead_in_count,behind_in_count,two_strike,same_hand,pitch_group_fastball,pitch_group_breaking,pitch_group_offspeed,hit_outcome
-1.732007255974699,-3.0,0.4599119421885904,-0.7585663687358968,-0.022312588833424716,0.016925579488468106,-1.379735826565771,0,0,0,0,1,0,1,0,1
0.8627496239522714,15.0,0.014099612776751732,0.8715362094921145,-1.0336108644394446,-0.9008292948834213,0.21149419165127598,0,0,0,0,1,1,0,0,1
0.08432255997418021,33.0,-2.7276462131060564,0.13890583725480654,-0.31125495329228775,-0.04323512988677093,-90.01232503249986,0,0,0,0,0,1,0,0,1
-0.6076126080063452,16.0,0.2741568049336576,-0.9783554804070898,0.7000433223137322,-0.6848912209080267,4.386508878938522,2,0,1,1,0,1,0,0,1
-0.41733043681170173,18.0,-0.36484086722331177,-0.6853033315121649,0.7000433223137322,-0.47974202098444496,-6.567135610019612,11,0,0,0,1,0,1,0,1
0.4475885231639551,-4.0,0.816561805718061,-0.4838299791469063,-1.7559667755866015,0.8495893684147257,-3.266247222872244,32,1,0,1,0,1,0,0,1
0.2746047311688237,18.0,0.5193535861101687,-0.6303560535943674,-0.022312588833424716,0.014064875442511355,9.348364549983037,12,0,1,1,0,1,0,0,2
-1.4552331887824899,18.0,-1.107861416243043,0.963115006021778,-0.31125495329228775,-0.29977431621441,-19.941505492374773,12,0,1,1,0,0,0,1,1
0.39569338556541617,33.0,-1.843451759772576,1.4942720258938247,0.844514504543163,1.2619343996004317,-60.83390807249501,0,0,0,0,1,1,0,0,1
0.06702418077466561,24.0,0.8239920112082579,0.39532646753786277,-0.16678377106285686,-0.06593403905692281,19.77580826899819,0,0,0,0,1,1,0,0,2
-0.07136285282143899,8.0,0.006669407286553786,0.17553735586666985,-0.31125495329228775,-0.05463687150133202,0.05335525829243029,22,0,0,1,0,1,0,0,1
0.4475885231639551,21.0,1.247513724149505,-3.5364565301356894,-2.815422111935765,9.95661791284365,26.197788207139602,1,0,1,0,1,1,0,0,3
0.9146447615508103,33.0,0.6828181068945097,1.0546938025514416,0.7000433223137322,0.7383313535618147,22.53299752751882,32,1,0,1,0,1,0,0,3
1.2779107247405852,-26.0,-0.595177237419428,-0.6425665597983244,-0.31125495329228775,0.2000020245572135,15.474608172905127,22,0,0,1,0,1,0,0,1
0.01512904317612669,-18.0,-4.488604914282819,-1.350775919627721,-0.40756907477857496,0.5505344917958489,80.79488845709074,1,0,1,0,0,1,0,0,1
-2.1644667359625274,12.0,-0.8329438131057421,-0.6486718129003016,-0.022312588833424716,0.014473547449076637,-9.995325757268905,2,0,1,1,0,0,1,0,1
0.032427422375638844,14.0,1.15092105277694,0.6334313385149873,-0.16678377106285686,-0.10564606734692263,16.11289473887716,0,0,0,0,1,1,0,0,2
-0.6249109872058598,15.0,0.4227609147376038,-0.9783554804070898,1.277928051231457,-1.250267912488248,6.341413721064057,1,0,1,0,1,0,1,0,2
0.46488690236346725,14.0,0.57136502454155,0.1572215965607382,1.1334568690020261,0.17820389857723404,7.9991103435817,21,1,0,0,0,0,0,1,1
-0.46922557441024065,-4.0,0.3410286543454328,-0.8135136466536944,-1.0336108644394446,0.84085654355101,-1.3641146173817311,12,0,1,1,0,0,1,0,1
0.48218528156298185,27.0,-0.2979690178115355,1.7873241747887496,0.844514504543163,1.5094211899297385,-8.045163480911459,10,1,0,0,0,0,1,0,2
0.6724674527576254,-1.0,0.6679576959141149,0.5662735543932353,0.02584447190972019,0.014635040969733379,-0.6679576959141149,1,0,1,0,1,1,0,0,1
-1.091967225592715,15.0,-0.5803168264390332,-1.0699342769367532,1.1334568690020261,-1.2127243555746792,-8.704752396585498,31,1,0,0,0,0,0,1,1
-1.0400720879941736,26.0,-1.4645112797725135,0.5784840605971898,0.7000433223137322,0.40496390368599516,-38.07729327408535,22,0,0,1,0,0,0,1,1
-0.2962417824151093,25.0,0.8091316002278642,0.9447992467158438,0.12215859339600615,0.11541534702041367,20.228290005696607,12,0,1,1,0,0,1,0,3
0.6378706943585987,7.0,0.7348295453258911,0.9081677281039778,1.277928051231457,1.1605730149672162,5.143806817281238,11,0,0,0,0,1,0,0,1
0.9319431407503225,31.0,0.6828181068945097,-0.2090935895579158,0.41110095785486916,-0.08595857494857205,21.167361313729803,31,1,0,0,0,1,0,0,3
1.0357334159474028,-27.0,-0.14193470251739243,-1.9490907236215222,-2.0449091400454646,3.9857134355114794,3.8322369679695956,22,0,0,1,0,1,0,0,1
0.06702418077466561,15.0,0.6308066684631283,1.0180622839395757,0.5555721400843,0.5656070418274203,9.462100026946924,31,1,0,0,1,1,0,0,1
-0.6595077456048867,41.0,-1.8285913487921812,0.5235367826793922,0.2666297756254383,0.13959049489747022,-74.97224530047943,0,0,0,0,1,1,0,0,1
0.8800480031517836,15.0,0.43762132571799867,0.2854319117022676,-0.8891396822100138,-0.25378883926355095,6.56431988576998,2,0,1,1,0,1,0,0,2
1.3817009999376655,12.0,0.5193535861101687,-0.6669875722062333,-1.3225532288983077,0.882126567256397,6.232243033322025,12,0,1,1,0,1,0,0,1
0.551378798361033,-15.0,-4.302849777027886,0.05953754692909488,-0.8409826214668702,-0.05007004229213702,64.54274665541828,12,0,1,1,0,1,0,0,1
1.1568220703439926,26.0,0.8388524221886527,2.245218157437067,-0.16678377106285686,-0.37446595115615305,21.810162976904973,10,1,0,0,1,1,0,0,2
