release_speed,launch_angle,launch_speed,bat_speed,swing_length,pitch_type,balls,strikes,stand,p_throws,estimated_woba_using_speedangle,hit_outcome
89.1,29.0,105.7,72.9,7.1,SI,1,0,R,R,1.7448749999999995,3
91.3,31.0,104.1,73.4,6.7,FF,1,2,R,L,1.4390624999999997,3
89.7,10.0,107.1,73.1,7.2,FF,1,0,R,L,0.862,1
83.7,-1.0,87.7,79.6,7.6,ST,1,1,R,R,0.222,1
90.0,25.0,73.9,69.7,6.7,FF,2,1,R,L,0.821,1
94.7,14.0,104.8,68.4,7.3,FF,1,0,L,R,0.795,1
78.6,14.0,91.7,69.0,8.2,ST,1,2,R,L,0.913,2
91.4,20.0,112.0,76.0,8.0,FF,1,0,R,L,1.4556666666666669,1
92.1,-3.0,102.5,71.4,7.6,FF,2,2,L,L,0.378,1
100.2,43.0,40.8,72.8,6.1,FF,1,2,R,R,0.095,1
88.5,1.0,99.2,65.0,7.0,CH,0,2,L,R,0.448,1
95.2,37.0,109.7,74.3,7.0,FF,1,2,L,R,1.475,3
99.8,13.0,94.4,72.0,7.4,FC,0,1,L,R,0.914,1
94.4,14.0,99.6,72.46666666666667,6.766666666666666,FF,1,0,L,R,0.8,1
89.1,17.0,78.5,70.2,6.6,SI,1,1,L,L,0.887,1
82.6,19.0,117.5,82.0,8.5,ST,3,2,R,R,2.0,3
92.0,-4.0,107.9,50.26666666666667,5.133333333333334,SI,0,0,L,R,0.363,1
84.8,17.0,69.7,64.3,8.4,FC,0,0,R,R,0.57,1
86.1,40.0,75.5,57.0,8.1,CH,2,2,R,L,0.086,1
95.5,10.0,99.9,68.56666666666666,6.733333333333333,FF,0,1,L,L,0.774,1
95.4,8.0,102.7,68.60000000000001,6.866666666666667,FF,1,1,L,L,0.61,2
94.7,11.0,108.7,75.5,7.166666666666667,FF,2,1,R,R,0.948,1
97.2,21.0,88.4,71.7,7.5,FF,3,2,L,L,0.344,2
87.9,-20.0,47.3,65.4,8.3,SL,1,1,L,L,0.134,1
89.9,10.0,114.3,64.26666666666667,6.933333333333334,FC,0,0,L,R,0.888,2
89.9,0.0,96.7,65.3,6.766666666666667,FC,1,2,R,R,0.344,1
85.2,33.0,63.3,72.2,6.7,CH,1,0,L,R,0.654,1
98.5,11.0,92.7,69.1,7.3,FC,1,2,R,R,0.757,1
97.8,15.0,93.5,73.5,6.9,FC,0,1,R,R,0.846,1
97.8,14.0,68.0,69.2,6.2,FC,1,0,L,R,0.315,1
74.5,-24.0,40.3,66.5,8.7,CU,0,0,R,R,0.244,1
74.4,14.0,104.3,76.0,7.9,CU,1,0,L,R,0.757,2
96.4,12.0,107.8,69.4,7.0,SI,1,0,L,R,0.918,2
87.6,-8.0,93.1,70.2,6.6,SL,3,2,L,R,0.174,2
81.3,23.0,79.9,70.7,7.2,SL,1,2,L,R,0.629,1
93.8,3.0,95.4,63.3,6.7,SI,0,1,L,R,0.485,1
96.3,12.0,102.6,71.0,6.4,FF,0,0,R,L,0.928,1
94.2,30.0,105.7,82.7,9.3,FF,1,2,R,R,1.733766666666667,3
93.8,4.0,111.8,83.9,7.7,FF,0,0,R,R,0.66,1
85.6,24.0,71.3,66.8,6.8,SL,1,2,L,L,0.903,1
92.0,31.0,66.8,67.4,7.5,CH,2,2,L,R,0.861,1
95.9,11.0,82.1,55.8,5.2,FF,2,1,L,R,0.492,1
96.6,25.0,103.7,74.9,6.8,FF,1,0,L,R,1.4257540983606556,3
88.1,13.0,77.9,75.0,7.8,SL,0,1,L,R,0.471,2
98.4,35.0,113.3,81.8,7.3,FF,3,1,L,R,1.917,3
98.9,-5.0,105.1,73.4,7.333333333333333,FF,0,0,R,R,0.321,1
90.6,-11.0,95.4,75.86666666666667,7.466666666666666,SL,0,1,L,R,0.192,1
91.3,15.0,94.5,71.5,7.3,SI,1,1,R,R,0.778,1
93.0,18.0,112.9,76.2,7.9,FF,3,2,L,R,1.4646666666666668,1
93.1,30.0,65.3,71.3,6.1,FF,1,1,R,R,0.828,1
81.0,16.0,108.8,68.86666666666666,7.8,SC,0,1,R,R,0.598,2
88.9,23.0,104.8,75.16666666666667,7.933333333333333,SL,0,1,R,R,1.232761904761905,3
91.4,36.0,102.5,81.8,8.0,FC,1,1,R,R,1.0794444444444449,3
94.5,7.0,107.2,74.3,7.366666666666667,FF,0,0,R,R,0.648,1
94.3,6.0,100.4,75.4,7.7,FF,2,2,L,R,0.584,2
85.0,41.0,68.6,74.5,6.6,SL,0,0,L,L,0.45,1
91.0,27.0,107.2,73.8,7.9,SI,0,0,R,L,1.8420851063829784,3
82.6,10.0,95.1,72.9,7.5,SL,2,0,L,R,0.615,1
78.1,6.0,100.1,75.5,8.1,KC,1,1,L,R,0.584,2
82.5,3.0,104.9,87.7,7.8,SL,0,1,R,R,0.503,1
88.3,1.0,93.0,70.6,7.3,SI,1,1,R,R,0.381,2
90.0,-7.0,104.1,71.7,7.5,SI,1,1,R,L,0.337,1
91.1,19.0,98.4,69.0,6.4,FF,0,0,R,R,0.347,2
91.7,22.0,70.9,66.8,8.4,SI,2,0,R,L,0.896,1
92.9,0.0,99.9,70.5,6.666666666666667,FF,2,2,R,R,0.369,2
84.5,24.0,113.6,77.4,7.4,SL,2,1,R,R,2.0,3
84.5,15.0,104.7,77.8,8.0,SL,2,1,L,R,0.713,1
91.3,18.0,94.5,64.5,6.9,SI,1,0,R,L,0.476,2
83.3,-5.0,101.9,68.8,7.9,CU,3,2,L,L,0.36,1
96.4,33.0,105.8,69.2,7.5,SI,1,2,R,R,1.6421612903225795,3
94.8,8.0,104.6,74.5,7.9,SI,0,0,L,R,0.639,1
88.2,30.0,109.0,82.7,8.2,CH,1,0,R,R,1.9702727272727272,3
95.0,27.0,105.6,73.4,6.8,FF,3,2,R,R,1.693822222222222,2
87.8,7.0,90.8,69.5,7.3,CH,0,1,L,R,0.511,1
84.8,0.0,93.5,68.1,7.7,CH,0,1,L,R,0.331,2
100.4,-2.0,81.4,68.1,7.3,FC,0,0,L,R,0.163,1
89.5,24.0,106.1,85.0,8.5,SL,1,2,R,R,1.551925373134328,3
99.2,18.0,109.9,74.9,7.7,FC,1,2,R,R,1.0850454545454546,3
80.0,18.0,91.0,71.4,8.0,CU,2,2,R,L,0.526,2
93.1,-4.0,89.5,69.5,6.8,SI,3,2,L,L,0.251,1
83.1,8.0,99.9,67.8,7.5,KC,2,2,L,R,0.618,2
84.2,20.0,93.4,70.8,7.9,ST,0,1,R,R,0.353,2
94.0,30.0,108.0,77.5,7.8,SI,3,1,L,R,1.8972222222222224,3
92.3,12.0,84.2,73.6,7.2,FC,2,0,L,R,0.59,1
92.6,4.0,95.5,64.2,5.8,FF,1,1,R,L,0.453,1
88.3,-26.0,89.8,70.0,6.4,SI,0,1,L,L,0.066,2
93.9,40.0,70.6,71.8,7.1,FC,0,0,L,R,0.384,1
97.6,1.0,104.5,78.6,7.5,FF,0,0,R,R,0.495,1
95.3,10.0,89.0,67.7,7.8,FC,0,2,R,R,0.486,1
81.1,16.0,72.5,65.7,7.9,ST,1,2,R,L,0.557,1
92.1,18.0,73.9,65.6,7.1,SI,0,1,R,L,0.837,1
81.8,10.0,106.3,76.9,7.6,ST,0,1,R,L,0.847,2
91.4,7.0,100.4,76.13333333333334,7.233333333333333,SI,2,1,R,L,0.589,1
96.6,11.0,103.2,74.6,7.1,SI,1,2,L,R,0.901,1
94.7,0.0,103.2,70.9,7.6,SI,3,1,L,R,0.456,1
89.5,3.0,104.1,70.9,6.4,FC,0,1,L,R,0.531,1
96.0,2.0,92.2,77.4,7.8,FF,2,0,R,R,0.43,1
86.2,9.0,91.0,61.5,7.3,ST,1,2,L,R,0.499,1
79.1,35.0,102.5,73.8,7.400000000000001,ST,2,2,R,R,1.1709166666666664,3
94.4,12.0,104.0,70.9,7.0,FF,2,0,R,R,0.912,2
89.8,7.0,101.5,69.5,6.8,SI,3,2,R,L,0.616,1
77.7,0.0,97.2,65.0,7.0,CU,1,0,L,R,0.368,1
95.6,-9.0,110.4,71.96666666666665,6.933333333333333,FF,1,1,R,R,0.311,1
77.9,0.0,98.4,70.9,7.8,CU,3,1,R,L,0.346,1
78.4,21.0,89.2,75.6,7.8,CU,2,0,R,L,0.279,2
90.0,3.0,96.0,77.0,7.1,SI,0,1,R,L,0.473,1
91.4,3.0,89.1,73.1,7.0,FS,0,2,R,R,0.359,1
95.1,28.0,106.0,73.9,7.5,FF,0,1,R,R,1.745106382978723,3
90.8,22.0,117.8,74.8,7.7,SI,1,0,L,L,1.856,3
94.3,-6.0,102.6,71.5,7.2,SI,0,1,R,R,0.317,1
87.6,39.0,108.9,73.5,7.2,FC,1,1,L,R,1.5674,3
89.0,37.0,115.9,80.3,8.3,FC,0,1,L,R,1.929,3
95.2,14.0,100.3,74.1,6.9,FF,3,2,R,R,0.8,1
95.2,13.0,92.5,72.8,6.8,SI,0,0,R,R,0.902,1
94.5,18.0,84.8,70.8,6.8,SI,0,1,R,R,0.866,1
88.4,31.0,102.4,74.2,7.1,FS,1,2,R,R,1.2330444444444444,3
91.6,19.0,94.7,70.9,6.6,FC,1,0,L,R,0.393,1
85.5,9.0,98.9,65.0,6.9,CH,1,1,L,R,0.636,1
93.2,40.0,74.8,69.6,6.6,SI,3,1,R,R,0.133,1
87.5,19.0,102.8,72.1,7.1,SL,1,1,L,R,0.629,1
81.8,12.0,73.5,68.5,7.4,ST,1,1,R,R,0.313,1
91.7,-9.0,85.0,66.4,7.2,FC,3,2,R,R,0.11,1
94.8,-48.0,87.4,74.39999999999999,7.333333333333333,FF,0,1,L,R,0.15,1
88.5,23.0,99.1,72.2,7.2,CH,1,1,L,R,0.4954999999999999,3
90.9,19.0,90.1,73.8,7.1,FF,2,0,R,R,0.422,1
93.9,7.0,96.6,67.4,6.9,FF,1,0,L,R,0.559,1
95.0,37.0,111.3,80.3,7.8,FF,1,1,R,R,1.497,3
79.7,19.0,81.6,56.7,7.2,CH,2,2,R,R,0.866,1
87.2,11.0,83.6,71.5,6.8,SL,1,1,L,L,0.495,2
92.8,24.0,99.5,67.2,7.2,FF,3,2,L,L,0.5585263157894738,2
95.6,16.0,92.3,69.8,7.1,FF,2,0,L,R,0.818,1
96.5,2.0,88.1,57.9,5.5,FF,0,0,L,R,0.323,1
87.5,15.0,105.2,70.8,7.3,SL,2,2,R,L,0.713,1
89.5,-41.0,66.3,53.9,6.8,SL,0,2,R,R,0.167,1
96.0,14.0,103.0,67.1,6.7,FF,0,0,L,R,0.766,1
95.0,16.0,92.9,74.2,6.866666666666666,FF,1,0,L,R,0.775,1
94.7,9.0,93.3,60.3,5.7,FF,1,1,L,R,0.584,2
93.6,9.0,105.1,70.8,6.4,FF,2,1,L,R,0.75,1
86.7,6.0,77.6,67.8,7.7,FC,1,2,R,R,0.255,1
95.1,15.0,95.3,72.23333333333333,6.8,FF,1,1,L,R,0.778,1
95.5,-3.0,107.7,79.4,7.4,FF,1,2,L,R,0.387,1
94.7,10.0,108.2,75.8,7.3,FF,3,1,R,R,0.876,2
90.5,2.0,85.5,53.2,5.0,FF,1,2,L,L,0.274,1
89.5,0.0,85.6,64.4,6.4,SI,0,1,R,L,0.267,1
87.8,3.0,91.8,57.0,6.1,SI,0,0,L,L,0.436,1
93.3,22.0,114.3,81.4,8.4,FF,0,1,R,L,2.0,3
96.3,32.0,102.9,70.9,7.5,FF,2,2,R,L,1.224410256410256,3
94.3,31.0,109.7,78.3,7.0,SI,2,1,L,R,1.967833333333333,3
89.9,10.0,107.6,71.4,6.8,FS,3,1,L,R,0.876,1
93.7,9.0,105.4,69.8,6.6,SI,2,1,L,R,0.75,1
85.8,17.0,76.7,76.5,8.2,CH,1,2,R,L,0.871,1
89.2,9.0,110.5,76.5,6.7,FS,1,2,L,R,0.828,1
95.0,12.0,107.5,74.2,7.1,SI,0,0,R,R,0.935,1
96.6,0.0,104.9,73.3,7.8,FF,2,0,R,L,0.458,1
89.7,17.0,72.6,72.2,7.7,SL,1,1,R,R,0.714,1
99.0,8.0,94.8,66.9,6.7,FF,1,0,L,R,0.559,1
100.2,-3.0,106.8,71.3,6.7,FF,3,2,R,R,0.381,1
97.7,0.0,96.1,66.9,6.1,FF,3,2,L,R,0.375,1
94.7,16.0,89.1,83.5,7.9,SI,1,1,R,R,0.925,2
73.7,-6.0,92.6,68.7,6.8,CU,0,2,L,R,0.225,1
96.0,7.0,105.1,67.8,6.9,FF,3,2,L,R,0.588,1
90.6,29.0,105.1,73.7,7.3,FF,3,1,L,L,1.643431818181818,3
